country,iso3_code,year,continent,ahdi,life_exp,schooling,democracy,gdp,gini,co2_per_capita
Greece,GRC,2010,Europe,0.6622829616633835,0.6402326712323033,0.4613781450189356,0.812,0.8020906403730896,34.1,8.751197
Greece,GRC,2015,Europe,0.6462333281664078,0.6487815896831965,0.44784264548440517,0.776,0.7735203132458482,36.0,6.924253
Greece,GRC,2020,Europe,0.6625949887992175,0.662527585758726,0.5278663881132599,0.719,0.766541588991311,33.6,5.1944113
Hungary,HUN,2000,Europe,0.5513630362916703,0.3811304555199851,0.46569713428967774,0.761,0.6842088910113755,27.2,5.7155046
Hungary,HUN,2005,Europe,0.572267120584079,0.4020415071940055,0.4853247641453208,0.763,0.7203893686748052,34.7,5.9749513
Hungary,HUN,2010,Europe,0.5732903954545532,0.4371521231866768,0.5060545079281846,0.678,0.720176722378207,29.4,5.2101464
Hungary,HUN,2015,Europe,0.56093123324525,0.46454548558362935,0.5967861673786967,0.484,0.7378127173958778,30.4,4.732789
Indonesia,IDN,1990,Asia,0.17364759297385982,0.26149762829564765,0.12062329108630344,0.055,0.5240991476178832,31.1,0.84463084
Indonesia,IDN,2000,Asia,0.34170925172521815,0.30016932337294966,0.15530684983130358,0.518,0.5645992187645532,30.3,1.3007095
Indonesia,IDN,2005,Asia,0.3805821749078434,0.31639341768324053,0.20584975303602435,0.545,0.5910435499451864,29.9,1.5045645
Indonesia,IDN,2010,Asia,0.4135189080809633,0.3310552998014497,0.2614140852536509,0.537,0.6291840070087855,34.6,1.8082032
Indonesia,IDN,2015,Asia,0.4265522410714721,0.3465089497297468,0.27801230357859863,0.517,0.664691150355211,38.2,2.1052775
Indonesia,IDN,2020,Asia,0.42196302557681725,0.3329474146582907,0.3120251897912735,0.446,0.6842226221656494,35.3,2.268087
Ireland,IRL,1995,Europe,0.5819521650264128,0.46014270871753443,0.3936947321348306,0.784,0.8075714217642463,37.0,9.929767
Ireland,IRL,2000,Europe,0.6155784856304376,0.4885291826082732,0.41693152353426544,0.806,0.8746684177124949,33.0,11.89966
Ireland,IRL,2005,Europe,0.6527978408079987,0.5674504103228402,0.4380831649624726,0.808,0.904105264072092,33.8,11.588379
Ireland,IRL,2010,Europe,0.6805598202701362,0.6408951963747431,0.46052037605468443,0.814,0.892904369890309,32.3,9.1665125
Ireland,IRL,2015,Europe,0.7564534133163475,0.6942315832895971,0.635139245245654,0.817,0.9089361465992054,31.8,8.2329445
Ireland,IRL,2020,Europe,0.7554129035009678,0.7776299208402823,0.5461715109804545,0.809,0.947735325008583,29.2,7.0349927
Israel,ISR,2005,Asia,0.6405872209037544,0.6250834060399912,0.4756959673277903,0.679,0.8340188543568425,42.3,8.401589
Israel,ISR,2010,Asia,0.6991238844915441,0.7172262107025973,0.5838792968157249,0.668,0.8540058909580918,42.6,9.307533
Israel,ISR,2015,Asia,0.7361883594437901,0.7449337710386535,0.7024982655622508,0.647,0.8675381547940906,39.7,7.815259
Israel,ISR,2020,Asia,0.7732168978537258,0.7674258258532894,0.8139319092233317,0.654,0.8749900464746713,37.8,6.7366834
Italy,ITA,1995,Europe,0.6010665821101946,0.5378518505653893,0.38312332204403604,0.756,0.8378519389259272,35.2,7.8148036
Italy,ITA,2000,Europe,0.6386392508211362,0.5963324383654469,0.42696453744991186,0.766,0.8529300555115495,35.2,8.19941
Italy,ITA,2005,Europe,0.6668636335434431,0.669286130642098,0.4495939116494703,0.768,0.8557652968054369,33.8,8.567466
