year,row_variable,row_label,col_variable,col_label,correlation,abs_correlation
2005,gini,Desigualdad (Gini),gini,Desigualdad (Gini),1.0,1.0
2005,gini,Desigualdad (Gini),co2_per_capita,CO₂ per cápita,-0.47657944060307755,0.47657944060307755
2005,co2_per_capita,CO₂ per cápita,ahdi,AHDI,0.7966052913814398,0.7966052913814398
2005,co2_per_capita,CO₂ per cápita,life_exp,Esperanza de vida,0.7034687071171785,0.7034687071171785
2005,co2_per_capita,CO₂ per cápita,schooling,Educación,0.802534619125016,0.802534619125016
2005,co2_per_capita,CO₂ per cápita,democracy,Democracia,0.6011949805887171,0.6011949805887171
2005,co2_per_capita,CO₂ per cápita,gdp,PIB per cápita,0.8218948896114179,0.8218948896114179
2005,co2_per_capita,CO₂ per cápita,gini,Desigualdad (Gini),-0.47657944060307755,0.47657944060307755
2005,co2_per_capita,CO₂ per cápita,co2_per_capita,CO₂ per cápita,1.0,1.0
2010,ahdi,AHDI,ahdi,AHDI,1.0,1.0
2010,ahdi,AHDI,life_exp,Esperanza de vida,0.9076925838576784,0.9076925838576784
2010,ahdi,AHDI,schooling,Educación,0.9103207600047104,0.9103207600047104
2010,ahdi,AHDI,democracy,Democracia,0.9093716894271383,0.9093716894271383
2010,ahdi,AHDI,gdp,PIB per cápita,0.9521395194660303,0.9521395194660303
2010,ahdi,AHDI,gini,Desigualdad (Gini),-0.3927408691939655,0.3927408691939655
2010,ahdi,AHDI,co2_per_capita,CO₂ per cápita,0.7454452713750402,0.7454452713750402
2010,life_exp,Esperanza de vida,ahdi,AHDI,0.9076925838576784,0.9076925838576784
2010,life_exp,Esperanza de vida,life_exp,Esperanza de vida,1.0,1.0
2010,life_exp,Esperanza de vida,schooling,Educación,0.7951957725947288,0.7951957725947288
2010,life_exp,Esperanza de vida,democracy,Democracia,0.7384436634338541,0.7384436634338541
2010,life_exp,Esperanza de vida,gdp,PIB per cápita,0.9013925945488328,0.9013925945488328
2010,life_exp,Esperanza de vida,gini,Desigualdad (Gini),-0.3624869776168274,0.3624869776168274
2010,life_exp,Esperanza de vida,co2_per_capita,CO₂ per cápita,0.6604550554386247,0.6604550554386247
2010,schooling,Educación,ahdi,AHDI,0.9103207600047104,0.9103207600047104
2010,schooling,Educación,life_exp,Esperanza de vida,0.7951957725947288,0.7951957725947288
2010,schooling,Educación,schooling,Educación,1.0,1.0
2010,schooling,Educación,democracy,Democracia,0.7113084041289226,0.7113084041289226
2010,schooling,Educación,gdp,PIB per cápita,0.8310256719925947,0.8310256719925947
2010,schooling,Educación,gini,Desigualdad (Gini),-0.4368118455376568,0.4368118455376568
2010,schooling,Educación,co2_per_capita,CO₂ per cápita,0.7873100057757909,0.7873100057757909
2010,democracy,Democracia,ahdi,AHDI,0.9093716894271383,0.9093716894271383
2010,democracy,Democracia,life_exp,Esperanza de vida,0.7384436634338541,0.7384436634338541
2010,democracy,Democracia,schooling,Educación,0.7113084041289226,0.7113084041289226
2010,democracy,Democracia,democracy,Democracia,1.0,1.0
2010,democracy,Democracia,gdp,PIB per cápita,0.8628994578850795,0.8628994578850795
